;train_loss;MAE;DP;Precision;Recall;F1-score;time
FOLD_1_0;64,016;19,02803802;22,54;0,55;0,55;0,55;19,11
FOLD_1_1;12,169;14,46342945;17,98;0,61;0,61;0,61;18,88
FOLD_1_2;9,502;11,960536;15,2;0,62;0,62;0,62;18,09
FOLD_1_3;8,979;11,66638374;14,68;0,62;0,62;0,62;18,14
FOLD_1_4;8,818;11,67257214;14,69;0,62;0,62;0,62;18,2
FOLD_1_5;8,931;11,49979877;14,35;0,64;0,64;0,64;18,02
FOLD_1_6;8,968;11,53346252;14,42;0,64;0,64;0,64;18,35
FOLD_1_7;9,02;11,64272022;14,63;0,72;0,72;0,72;17,9
FOLD_1_8;8,909;11,70305634;14,74;0,62;0,62;0,62;17,9
FOLD_1_9;8,881;11,66946411;14,69;0,62;0,62;0,62;18,23
FOLD_1_10;8,864;11,61146069;14,57;0,72;0,72;0,72;17,95
FOLD_1_11;8,959;11,57762909;14,5;0,72;0,72;0,72;18,23
FOLD_1_12;8,908;11,61571407;14,58;0,72;0,72;0,72;18,2
FOLD_1_13;8,987;11,60211182;14,55;0,72;0,72;0,72;17,88
FOLD_1_14;8,914;11,64714241;14,64;0,72;0,72;0,72;18
FOLD_1_15;8,975;11,61628914;14,58;0,72;0,72;0,72;18,11
FOLD_1_16;8,97;11,65048218;14,65;0,72;0,72;0,72;17,91
FOLD_1_17;8,973;11,54838562;14,45;0,64;0,64;0,64;18,36
FOLD_1_18;8,911;11,65916061;14,67;0,64;0,64;0,64;17,99
FOLD_1_19;8,79;11,66117096;14,67;0,62;0,62;0,62;17,96
FOLD_1_20;8,822;11,70029259;14,74;0,62;0,62;0,62;18,25
FOLD_1_21;8,905;11,60830021;14,57;0,72;0,72;0,72;18,15
FOLD_1_22;8,915;11,85783577;15,02;0,62;0,62;0,62;18,23
FOLD_1_23;8,963;11,69129562;14,72;0,62;0,62;0,62;18,1
FOLD_1_24;8,867;11,65387154;14,66;0,72;0,72;0,72;17,9
FOLD_1_25;9,011;11,57370281;14,5;0,72;0,72;0,72;18,35
FOLD_1_26;8,908;11,91058636;15,12;0,55;0,55;0,55;17,98
FOLD_1_27;9,071;11,65228748;14,66;0,64;0,64;0,64;18,12
FOLD_1_28;8,858;11,71429062;14,76;0,62;0,62;0,62;18,26
FOLD_1_29;8,85;11,66133404;14,67;0,55;0,55;0,55;17,92
FOLD_1_30;8,901;11,85848904;15,02;0,62;0,62;0,62;18,46
FOLD_2_0;48,379;15,04063892;18,13;0,55;0,55;0,55;19,26
FOLD_2_1;13,008;10,90726566;14,03;0,66;0,66;0,66;18,19
FOLD_2_2;10,123;9,15510273;12,17;0,73;0,73;0,73;18,06
FOLD_2_3;9,543;9,034970284;11,82;0,72;0,72;0,72;18,23
FOLD_2_4;9,539;9,034963608;11,82;0,72;0,72;0,72;17,95
FOLD_2_5;9,622;9,045367241;11,96;0,73;0,73;0,73;18,34
FOLD_2_6;9,472;9,068697929;11,56;0,72;0,72;0,72;18,04
FOLD_2_7;9,546;9,06860733;11,56;0,72;0,72;0,72;17,91
FOLD_2_8;9,557;9,058443069;11,63;0,72;0,72;0,72;18,61
FOLD_2_9;9,523;9,055909157;11,65;0,72;0,72;0,72;18
FOLD_2_10;9,749;9,058941841;11,63;0,72;0,72;0,72;17,96
FOLD_2_11;9,65;9,064749718;11,58;0,72;0,72;0,72;18,16
FOLD_2_12;9,631;9,07469368;11,52;0,72;0,72;0,72;17,91
FOLD_2_13;9,545;9,057403564;11,64;0,72;0,72;0,72;18,11
FOLD_2_14;9,55;9,066749573;11,57;0,72;0,72;0,72;18,12
FOLD_2_15;9,641;9,043862343;11,74;0,72;0,72;0,72;17,91
FOLD_2_16;9,605;9,095880508;11,42;0,72;0,72;0,72;18,26
FOLD_2_17;9,659;9,079928398;11,49;0,72;0,72;0,72;17,87
FOLD_2_18;9,573;9,062332153;11,6;0,72;0,72;0,72;18,15
FOLD_2_19;9,509;9,068519592;11,56;0,72;0,72;0,72;18,3
FOLD_2_20;9,547;9,069467545;11,56;0,72;0,72;0,72;17,87
FOLD_2_21;9,782;9,047264099;11,71;0,67;0,67;0,67;17,89
FOLD_2_22;9,649;9,08398056;11,47;0,72;0,72;0,72;18,15
FOLD_2_23;9,535;9,057945251;11,63;0,72;0,72;0,72;17,95
FOLD_2_24;9,505;9,054289818;11,66;0,72;0,72;0,72;18,24
FOLD_2_25;9,611;9,076827049;11,52;0,72;0,72;0,72;17,97
FOLD_2_26;9,593;9,056529045;11,65;0,72;0,72;0,72;17,91
FOLD_2_27;9,564;9,036642075;11,8;0,72;0,72;0,72;18,33
FOLD_2_28;9,598;9,023643494;11,92;0,72;0,72;0,72;18,17
FOLD_2_29;9,56;9,025452614;11,91;0,67;0,67;0,67;17,95
FOLD_2_30;9,497;9,049826622;11,69;0,72;0,72;0,72;18,13
FOLD_3_0;19,602;10,75935841;11,4;0,56;0,56;0,56;19,32
FOLD_3_1;46,763;6,742766857;7,44;0,72;0,72;0,72;18,54
FOLD_3_2;10,469;7,312525272;7,66;0,69;0,69;0,69;18,68
FOLD_3_3;9,989;7,45630312;7,85;0,69;0,69;0,69;17,97
