;train_loss;MAE;DP;Precision;Recall;F1-score;time
FOLD_1_0;415,035;20,45454597;24,08;0,55;0,55;0,55;28,3
FOLD_1_1;14,913;20,45454597;24,08;0,55;0,55;0,55;28,21
FOLD_1_2;14,738;20,45454597;24,08;0,55;0,55;0,55;27,58
FOLD_1_3;14,782;20,45454597;24,08;0,55;0,55;0,55;27,67
FOLD_1_4;14,823;20,45454597;24,08;0,55;0,55;0,55;27,57
FOLD_1_5;14,84;20,45454597;24,08;0,55;0,55;0,55;27,49
FOLD_1_6;14,826;20,45454597;24,08;0,55;0,55;0,55;27,62
FOLD_1_7;14,709;20,45454597;24,08;0,55;0,55;0,55;27,55
FOLD_1_8;14,797;20,45454597;24,08;0,55;0,55;0,55;27,51
FOLD_1_9;14,68;20,45454597;24,08;0,55;0,55;0,55;27,44
FOLD_1_10;14,84;20,45454597;24,08;0,55;0,55;0,55;27,65
FOLD_1_11;14,904;20,45454597;24,08;0,55;0,55;0,55;27,74
FOLD_1_12;14,666;20,45454597;24,08;0,55;0,55;0,55;27,88
FOLD_1_13;14,811;20,45454597;24,08;0,55;0,55;0,55;27,5
FOLD_1_14;14,884;20,45454597;24,08;0,55;0,55;0,55;27,44
FOLD_1_15;14,724;20,45454597;24,08;0,55;0,55;0,55;27,51
FOLD_1_16;14,884;20,45454597;24,08;0,55;0,55;0,55;27,5
FOLD_1_17;14,782;20,45454597;24,08;0,55;0,55;0,55;27,44
FOLD_1_18;14,855;20,45454597;24,08;0,55;0,55;0,55;27,46
FOLD_1_19;14,724;20,45454597;24,08;0,55;0,55;0,55;27,23
FOLD_1_20;14,724;20,45454597;24,08;0,55;0,55;0,55;27,16
FOLD_1_21;14,913;20,45454597;24,08;0,55;0,55;0,55;27,2
FOLD_1_22;14,913;20,45454597;24,08;0,55;0,55;0,55;27,27
FOLD_1_23;14,738;20,45454597;24,08;0,55;0,55;0,55;27,27
FOLD_1_24;14,695;20,45454597;24,08;0,55;0,55;0,55;27,44
FOLD_1_25;14,84;20,45454597;24,08;0,55;0,55;0,55;27,33
FOLD_1_26;14,753;20,45454597;24,08;0,55;0,55;0,55;27,23
FOLD_1_27;14,767;20,45454597;24,08;0,55;0,55;0,55;27,12
FOLD_1_28;14,869;20,45454597;24,08;0,55;0,55;0,55;27,16
FOLD_1_29;14,68;20,45454597;24,08;0,55;0,55;0,55;27,14
FOLD_1_30;14,84;20,45454597;24,08;0,55;0,55;0,55;27,28
FOLD_2_0;7768,581;16,40909195;19,8;0,55;0,55;0,55;27,91
FOLD_2_1;15,933;16,40909195;19,8;0,55;0,55;0,55;27,93
FOLD_2_2;15,962;16,40909195;19,8;0,55;0,55;0,55;27,76
FOLD_2_3;15,831;16,40909195;19,8;0,55;0,55;0,55;27,87
FOLD_2_4;15,77;16,40909195;19,8;0,55;0,55;0,55;28,07
FOLD_2_5;15,904;16,40909195;19,8;0,55;0,55;0,55;27,57
FOLD_2_6;15,89;16,40909195;19,8;0,55;0,55;0,55;27,42
FOLD_2_7;15,89;16,40909195;19,8;0,55;0,55;0,55;27,2
FOLD_2_8;15,933;16,40909195;19,8;0,55;0,55;0,55;27,19
FOLD_2_9;15,817;16,40909195;19,8;0,55;0,55;0,55;27,22
FOLD_2_10;15,904;16,40909195;19,8;0,55;0,55;0,55;27,26
FOLD_2_11;15,919;16,40909195;19,8;0,55;0,55;0,55;27,13
FOLD_2_12;15,802;16,40909195;19,8;0,55;0,55;0,55;27,17
FOLD_2_13;15,802;16,40909195;19,8;0,55;0,55;0,55;27,06
FOLD_2_14;15,715;16,40909195;19,8;0,55;0,55;0,55;27,07
FOLD_2_15;15,77;16,40909195;19,8;0,55;0,55;0,55;27,07
FOLD_2_16;15,846;16,40909195;19,8;0,55;0,55;0,55;27,3
FOLD_2_17;15,86;16,40909195;19,8;0,55;0,55;0,55;27,29
FOLD_2_18;15,788;16,40909195;19,8;0,55;0,55;0,55;27,37
FOLD_2_19;15,799;16,40909195;19,8;0,55;0,55;0,55;27,25
